scenario_id,scenario_name,model_projection_date,target,target_end_date,sample,location,value,age_group
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,3,42,102,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,4,42,83,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,5,42,104,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,6,42,125,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,7,42,91,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,8,42,133,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,9,42,120,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,10,42,125,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,11,42,114,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,12,42,109,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,13,42,113,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,14,42,99,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,15,42,124,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,16,42,101,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,17,42,96,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,18,42,144,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,19,42,128,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,20,42,101,0-130
A-2022-11-13,highVE_optImm,2022-11-13,4 wk ahead inc hosp,2022-12-10,1,42,51,0-130
A-2022-11-13,highVE_optImm,2022-11-13,4 wk ahead inc hosp,2022-12-10,2,42,45,0-130
A-2022-11-13,highVE_optImm,2022-11-13,4 wk ahead inc hosp,2022-12-10,3,42,40,0-130
A-2022-11-13,highVE_optImm,2022-11-13,4 wk ahead inc hosp,2022-12-10,4,42,56,0-130
