"sample","value","target_end_date","scenario_name","location","target","age_group","scenario_id","model_projection_date"
97,6755.38408476997,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
98,5993.10787973512,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
99,6492.56522076562,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
100,6232.36491479087,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
1,7959.1222906269,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
2,7781.58844240541,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
3,7752.19796460262,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
4,8150.76295011691,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
5,8412.63414449592,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
6,7906.7916132034,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
7,8383.1564968837,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
8,7890.34334100371,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
9,7877.26008609046,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
10,7988.97123894553,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
11,8197.23412487905,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
12,8324.85441038675,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
13,8242.13607952452,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
14,7958.02071710379,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
15,8177.669847521,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
16,8263.49945096553,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
17,8626.38262740916,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
18,7991.42933609185,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
19,8512.20581450489,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
20,7963.17767331039,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
21,7438.40922617664,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
22,7937.52906153129,"2022-12-03","highVE_optImm","US","3 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
